stationID,daytype,hour,statusS,statusN
6,0,23,1.75,1.12
6,1,0,1.19,1.05
6,1,1,1.01,1.01
6,1,2,1.00,1.00
6,1,3,1.00,1.00
6,1,4,1.00,1.00
6,1,5,1.13,1.00
6,1,6,2.36,1.11
6,1,7,2.51,1.13
6,1,8,2.00,1.09
6,1,9,2.02,1.14
6,1,10,2.16,1.17
6,1,11,2.10,1.20
6,1,12,2.11,1.22
6,1,13,2.27,1.21
6,1,14,2.48,1.55
6,1,15,2.72,1.99
6,1,16,2.82,2.14
6,1,17,2.91,2.18
6,1,18,2.95,2.33
6,1,19,2.94,2.37
6,1,20,2.92,2.09
6,1,21,2.81,1.55
6,1,22,2.17,1.21
6,1,23,1.89,1.16
6,5,0,1.69,1.21
6,5,1,1.19,1.04
6,5,2,1.08,1.08
6,5,3,1.04,1.04
6,5,4,1.00,1.00
6,5,5,1.00,1.00
6,5,6,1.60,1.17
6,5,7,1.81,1.33
6,5,8,2.12,1.42
6,5,9,2.17,1.48
6,5,10,2.38,1.58
6,5,11,2.40,1.62
6,5,12,2.42,1.67
6,5,13,2.40,1.74
6,5,14,2.27,1.94
6,5,15,2.33,2.25
6,5,16,2.33,2.25
6,5,17,2.40,2.25
6,5,18,2.73,2.25
6,5,19,2.79,2.19
6,5,20,2.83,1.90
6,5,21,2.77,1.35
6,5,22,2.69,1.10
6,5,23,2.15,1.12
6,6,0,1.44,1.04
6,6,1,1.12,1.00
6,6,2,1.08,1.00
6,6,3,1.08,1.00
6,6,4,1.06,1.00
6,6,5,1.00,1.00
6,6,6,1.17,1.00
6,6,7,1.12,1.00
6,6,8,1.00,1.00
6,6,9,1.00,1.00
6,6,10,1.02,1.00
6,6,11,1.25,1.00
6,6,12,1.33,1.06
6,6,13,1.33,1.06
6,6,14,1.52,1.08
6,6,15,1.98,1.40
6,6,16,2.27,1.50
6,6,17,2.45,1.62
6,6,18,2.54,1.69
6,6,19,2.56,1.62
6,6,20,2.33,1.44
6,6,21,2.06,1.17
6,6,22,1.81,1.04
6,6,23,1.54,1.00
